category,question,answer
"Genel Bilgiler, Kullanım ve Koşullar",Güvenli Sürüş Puanı nedir?,"Güvenli sürüşün takipçisiyiz! Araçlarımızdaki teknoloji yardımıyla her kullanım güvenli sürüş kapsamında takip edilmektedir. Tüm sürücüler hız aşımı, el freni kullanımı ile ani fren ve hızlanma gibi konulara göre puanlanmaktadır. Yüksek puan ortalamasına sahip olanlar ödüllendirildiği gibi, riskli kullananlar ise sistem dışı bırakılabilmektedir."
"Genel Bilgiler, Kullanım ve Koşullar",GetirAraç nedir?,"GetirAraç saatlik, dakikalık veya günlük araç kullanım hizmetidir. GetirAraç’ı kullanarak sana en yakın aracı uygulama üzerinden, ihtiyacın olan süre kadar kullanabilirsin. Kullandığın aracı istediğin yerde, dilediğin kadar kullandıktan sonra hizmet bölgesi içindeki herhangi bir yere bırakabilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Günlük kullanıma geçiş nedir?,"10 saati aşan kullanımların otomatik olarak günlük kullanıma döner ve kalan 14 saat için ek ücret ödemezsin. 10 saatlik kullanımın için tam 250 kilometre kullanım hakkın olur. 250 kilometreyi aşarsan, standart kilometre aşım bedeli ile yoluna devam edebilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Saatlik / günlük paketler nedir?,"Saatlik ve günlük paketler, planı az çok belli olan kullanıcılarımız için avantaj sağlayan ön ödemeli paketlerdir.Bu paketlere süre ve belirtilen kilometre hakkı dahildir. Ancak ücretli yollar, HGS ya da trafik cezaları kapsam dışıdır.Eğer pakette belirtilen süreyi veya kilometreyi aşarsan kullandığın aracın standart 1 dakikalık kullanım bedeli ve kilometre aşım ücreti üzerinden aşım miktarı hesaplanır. Kullanımın sonunda fatura edilir.Saatlik veya günlük paketlerle kullanımını başlattıktan sonra ilk 5 dakika içinde iptal etmek zorunda kalırsan, herhangi bir ücret ödemek zorunda kalmazsın. Fakat 5 dakikayı aşan iptallerde, paket tutarı kadar ödeme alınır."
"Genel Bilgiler, Kullanım ve Koşullar",Kullanım sonunda 3 dakikaya kadar neden ücretsiz?,Aracın fotoğraflarını yükleyebilmen ve adres detaylarını girebilmen için kullanım sonunda “Bitir” butonuna tıkladıktan sonra 3 dakikaya kadar ücret ödemezsin.
"Genel Bilgiler, Kullanım ve Koşullar",0 kilometreli günlük paket nasıl çalışır?,"0 kilometreli paketlerde gördüğün fiyatlar, sigorta dahil süre bedelidir. Yapacağın her 1 kilometre paket detayında göreceğin indirimli KM başı tutar üstünden hesaplanır. Örneğin 0 KM paketini seçtin, kullanımının başlangıcında da ödemesi kayıtlı kredi kartından tahsil edildi ve kullanımın boyunca 100 kilometre yol yaptın diyelim. Kullanımının sonunda yaptığın 100 KM paket detayında yer alan indirimli KM bedeli üstünden hesaplanır ve kayıtlı kartından ödemesi alınır. Üstelik 150 TL'lik sigorta ücretin de fiyata dahildir."
"Genel Bilgiler, Kullanım ve Koşullar",MERHABA Kampanyası Nedir?,"Üyeliğin onaylandıktan sonra ilk kullanımına özel 500 TL indirim kazanırsın. Bu indirimi, kullanımını başlatırken ""Kampanya Seç"" alanından seçerek kullanabilirsin.İndirime hak kazanabilmen için üyeliğinin onaylanmış olması gerekmektedir. Bu kampanya GetirAraç uygulamasında, Getir veya BiTaksi uygulamalarındaki GetirAraç hizmetlerinden sadece birindeki ilk kullanımında geçerlidir.Kampanya sadece ilk kullanım için geçerlidir ve ilk seferde kullanılmayan indirimler geçersiz hale gelecektir.Kampanya 31 Ocak 2025'e kadar geçerlidir."
"Genel Bilgiler, Kullanım ve Koşullar",USTA  Kampanyası Nedir?,"GetirAraç, trafik kurallarına uyan ve hasar ya da trafik cezası kaydı olmayan kullanıcıları yolların ustası olarak görür ve her hafta indirimlerle kutlar.Bu indirimi kullanımını başlatırken “Kampanya Seç” alanından bu kampanyayı seçerek kullanabilirsin.Usta kampanyasında her kullanım sonunda görebileceğin güvenli sürüş puanına göre 300 TL'ye kadar %30'a varan indirimler kazanırsın. Her hafta, bir önceki hafta yapılan tüm sürüşlerden ortalama 95 puan üstü alan kullanıcılar 300 TL'ye varan %30, 80-95 arası puan alan kullanıcılar ise 200 TL'ye varan %20 indirim kazanır.Kampanya, GetirAraç uygulamasında veya Getir ve BiTaksi uygulamalarındaki GetirAraç'ta tek bir sefer kullanılabilir.Kampanya 31 Ocak 2025 tarihine kadar geçerlidir.Getir, BiTaksi ve GetirAraç, kötüye kullanımını önlemek için kampanyanın geçerliliğini sınırlama ve her türlü makul önlemi alma hakkını saklı tutar. Kampanyayı manipüle etmeye yönelik herhangi bir girişim, kullanımın iptaline ve ilgili hesabın kapatılmasına neden olabilir.İndirimler süre bedelleri için geçerlidir. Ücretli otoyol ve KM aşımları indirime dahil değildir."
"Genel Bilgiler, Kullanım ve Koşullar",TITIZ Kampanyası Nedir?,"Bir sonraki kullanıcıdan yüksek temizlik puanı alan kullanıcılarımızı her hafta indirimlerle kutlarız.Kampanyaya hak kazanman durumunda %20 indirim sağlayan kampanyayı her Çarşamba günü SMS ile iletiriz, sen de Perşembe günü indirimden yararlanabilirsin.Kampanya, GetirAraç uygulamasında veya Getir ve BiTaksi uygulamalarındaki GetirAraç'ta tek bir sefer kullanılabilir.Bu indirimi kullanımını başlatırken “Kampanya Seç” alanından bu kampanyayı seçerek kullanabilirsin.Kampanya maksimum 100 TL’ye kadar indirim sağlar.Kampanya 31 Ocak 2025 tarihine kadar geçerlidir.BiTaksi ve GetirAraç kötüye kullanımını önlemek için kampanyanın geçerliliğini sınırlama ve her türlü makul önlemi alma hakkını saklı tutar. Kampanyayı manipüle etmeye yönelik herhangi bir girişim, kullanımın iptaline ve ilgili hesabın kapatılmasına neden olabilir.İndirimler süre bedelleri için geçerlidir. Ücretli otoyol ve KM aşımları indirime dahil değildir."
"Genel Bilgiler, Kullanım ve Koşullar",Fırsat aracı - Yıkama noktasına bırakma indirimi nasıl kazanılır?,"Fırsat araçlarını yıldızlarından tanıyabilirsin.Önce uygulamadaki haritanın sol tarafında göreceğin “Anlaşmalı Yıkama Noktaları” ikonuna dokun. Kullanımı sonlandırmayı planladığın yerdeki yıkama noktalarını kontrol edip kullanımını her zaman olduğu gibi başlatabilirsin.Yıkama noktası fırsat aracını anlaşmalı yıkama noktasının 200 metre yarıçapında sonlandırarak anında 75 TL hediye kazanırsın. 200 metre yarıçapına geldiğini haritada gösterilen yeşil çizgilerden anlayabilirsin.Kullanımını sonlandırdıktan sonra, 30 gün geçerli olacak 75 TL değerindeki yeni indirimini seninle paylaşırız.Bu indirimi, Fırsat Bölgesi indirimi dışındaki tüm kampanya ve indirimlerle birleştirebilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Fırsat aracı - Yakıt doldurma indirimi nasıl kazanılır?,"Fırsat araçlarını yıldızlarından tanıyabilirsin.Yakıt fırsat aracının hediyesini almak için tek yapman gereken, yakıt fırsat aracını kullandığın süre içinde herhangi bir Petrol Ofisi istasyonuna uğrayıp taşıt tanıma sistemi ile depoyu ücretsiz doldurman.Kullanımının sonunda150TL'ye varan indirimin anında yansır.Unutma, yakıt oranı düşük her araç fırsat aracı değildir.Bu indirimi diğer kampanya ve indirimlerle birleştirebilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Fırsat aracı- Yürüme mesafesi indirimi nasıl kazanılır?,"Fırsat araçlarını yıldızlarından tanıyabilirsiniz.Kartında “Yürüme” fırsatı olan aracı seçtiğinizde tek yapmanız gereken, bulunduğunuz konumdayken yürüme fırsat aracı ile kullanımınızı başlatıp her zamanki gibi kullanmanız.Kullanımınızın sonunda75TL'ye varan indiriminizanında yansır.Bu indirimi diğer kampanya ve indirimlerle birleştirebilirsiniz."
"Genel Bilgiler, Kullanım ve Koşullar",Nasıl yakıt alırım?,"GetirAraç'a ait otomobillerin hepsinde taşıt tanıma sistemi bulunuyor. Tüm Türkiye'de dilediğin zaman Petrol Ofisi istasyonlarına gidebilir, araçta taşıt tanıma sistemi olduğunu söyleyerek hiçbir ücret ödemeden yakıt alabilirsin. Petrol Ofisi dışında farklı bir benzin istasyonundan yakıt aldığında, yakıt tutarı sana ait olacaktır."
"Genel Bilgiler, Kullanım ve Koşullar",GetirAraç'ı kimler kullanabilir?,"Genel kullanım koşullarımıza göre, GetirAraç'ı kullanabilmek için yeni üyeliklerde- 21-25 yaş arası kullanıcılarda en az 2 yıllık ve üzerinde TCKN bulunan ehliyet ve kredi kartı sahibi olma,
- 26 yaş ve üzerindeki kullanıcılardaysa en az 1 yıllık ve üzerinde TCKN bulunan ehliyet ve kredi kartı sahibi olma koşulları aranır.Mevcut GetirAraç üyeliklerinde ise kullanıcıların 21 yaşını doldurmuş ve en az 1 yıllık ehliyete sahip olması gerekir."
"Genel Bilgiler, Kullanım ve Koşullar",Kullanım öncesi rezervasyon yapmam gerekir mi?,"GetirAraç’ta rezervasyon yaptırmana gerek yok. Kullandığın bütün araçlar, kullandığın süre boyunca sana aittir."
"Genel Bilgiler, Kullanım ve Koşullar",Filtre özelliği ne işe yarar?,"Uygulama içindeki alt menüde yer alan filtre özelliği ile haritada hangi tipte araç görmek istiyorsan ona göre filtreleyebilirsin. Aynı zamanda yakıt seviyesi, vites tipi ve markaya göre de filtreleme yapabilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",GetirAraç'ta süre sınırı var mı?,GetirAraç’ta herhangi bir süre sınırı yok. İstediğin aracı dilediğin kadar kullanabilirsin. Hatta 10 saati aşan kullanımlarında günlük araç kullanım tarifesine göre ücret ödersin. Yani 24 saatlik kullanımlarında sadece 10 saatlik ücret fatura edilir. Kilometre aşım bedeli ise kilometre aşımına göre ayrıca hesaplanır.
"Genel Bilgiler, Kullanım ve Koşullar",Çağrı merkezine hangi saatler arasında ulaşabilirim?,GetirAraç Çağrı Merkezi'ne0850 314 99 88numarasından 7 gün - 24 saat boyunca ulaşabilirsin.
"Genel Bilgiler, Kullanım ve Koşullar",Aracı başka biri kullanabilir mi?,Hesap sahibi kullanıcı haricinde başka birisi kullanamaz. Aksi takdirde sorumluluk kullanıcıya ait olur ve sigorta devre dışı kalır.
"Genel Bilgiler, Kullanım ve Koşullar",Kullandığım araca evcil hayvanım da binebilir mi?,"Uygun bir taşıma çantasında veya kafeslerinde oldukları sürece evcil hayvanın da seninle seyahat edebilir. Taşıma çantası ya da kafesin olmadığı durumlarda minik dostun, araç içerisinde ufak yaramazlıklar yaparsa detaylı temizlik bedeli tarafına ayrıca yansıtılır."
"Genel Bilgiler, Kullanım ve Koşullar",GetirAraç'ta indirim veya kampanya oluyor mu?,"Öncelikle ilk kullanımında geçerli “MERHABA” kampanyasını atlamamanı öneririz. Bu sayede ilk kullanımını 500 TL indirimle gerçekleştirebilirsin.Diğer kampanyalarını, kullanımını başlatırken ""Kampanya Seç"" alanından seçerek dilediğin gibi kullanabilirsin.GetirAraç’taki kampanyalar, kullanım süresi için geçerlidir. Kilometre aşımlarından yansıyacak tutarlar, kampanyalara dahil değildir."
"Genel Bilgiler, Kullanım ve Koşullar","Fırsat Bölgesi nedir, nasıl indirim kazanılır?","Fırsat Bölgesi’ni haritada işaretlenen mor renklerinden tanıyabilir, indirim detaylarını haritadaki mor alanlara tıklayarak öğrenebilirsin.Bu indirim paketler ve diğer kampanyalarla birleştirilebilir. Fırsat Bölgesi’nde bırakılan araçlarla yıkama noktasına bırakma ve şarj noktası indirimlerinden yararlanılamaz.Fırsat Bölgesi indirimleri süre bedelleri için geçerlidir. Ücretli otoyol ve km aşımları indirime dahil değildir."
"Genel Bilgiler, Kullanım ve Koşullar",Hizmet bölgesi nedir?,"GetirAraç kullanıcılarının, İstanbul ve İzmir’de kullanımlarını başlatabilecekleri ve sonlandırabilecekleri bölgelere “hizmet bölgesi” denir.İstanbul ve İzmir hizmet bölgemizi siyah çerçeve içinde görebilir, kullanımını bu bölgelerde başlatıp sonlandırabilirsin.GetirAraç’ın hizmet verdiği 2 şehirden dilediğinde kullanımını başlatıp, bir diğerinde bitirebilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Aracımı hizmet bölgesi dışında kullanabilir miyim?,"GetirAraç’tan kullandığın aracı, hizmet bölgesi dışında da kullanabilirsin. Üstelik hizmet bölgesi dışında olsan bile sigortamızın koruması altındasın.Ancak kullanımını sadece hizmet bölgesi içinde sonlandırabilirsin.İstersen şehir içinde istersen de hizmet verdiğimiz 2 büyük şehir arasında dilediğin gibi seyahat edebilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",İptal şansı var mı?,"Ödeme butonuna bastıktan sonra ücretsiz iptal için 5 dakika süren bulunmaktadır.Eğer kullanımını 5 dakika içinde iptal etmezsen kullanım süreci başlamış olur ve dakikalık ücret de hesabına yansır.Örneğin; kullanımını 6 dakika içinde iptal edersen 1 dakikalık, 7 dakika içinde iptal edersen de 2 dakikalık ücret hesabından kesilir.Aynı durum satın alınan süre paketlerinde de geçerlidir. 5 dakikayı geçen iptallerde süre paket bedeli tahsil edilir."
"Genel Bilgiler, Kullanım ve Koşullar",Araçlarda km sınırı var mı?,"GetirAraç kullanımlarında herhangi bir kilometre sınırı bulunmuyor. Dakikalık olarak başlattığın her kullanımında ilk 250 kilometren ücretsizdir. 250 kilometreyi tamamladığında ise araç kartlarında yer alan “kilometre aşım bedeli” devreye girer.Avantajlı paketlerimiz ise “kilometreli” ve “0 kilometre” olarak ikiye ayrılır.Kilometreli paketlerde belirtilen kilometre hakkın, paket fiyatına dahildir. Aşman durumunda, kullandığın aracın kilometre aşım bedeli üzerinden ücretlendirilir.0 kilometre paketlerinde göreceğin fiyat ise sadece süre bedelidir. Paket açıklamasında yer alan kilometre başı bedel hesaplanır ve kullanımın sonunda fatura edilir."
"Genel Bilgiler, Kullanım ve Koşullar",Araç içinde bir eşyamı unutursam ne yapmam gerekir?,Kullanımını sonlandırırken tam da bu gibi sebeplerden dolayı bir kontrol listesi var. Kişisel eşyalarının sorumluluğu sadece sana aittir.
"Genel Bilgiler, Kullanım ve Koşullar",Kulanımımı nasıl başlatırım?,"Uygulama içindeki harita üzerinden sana en yakın aracı bulup istediğin zaman kullanabilirsin. Aracı seç, ""Onayla ve Öde"" butonuna tıkla. Aracın yanına gittiğinde uygulama üzerinden kapıları açabilir, araca ait anahtarı da torpido gözünde bulabilirsin."
"Genel Bilgiler, Kullanım ve Koşullar",Kullanımımı nasıl sonlandırırım?,"Kullanımını sonlandırmak için “Bitir” butonuna tıkla. Daha sonra kontrol listesini dikkatlice incele. Kullanım süren boyunca bir hasar oluşmadıysa aracın fotoğraflarını, uygulamanın yönlendirdiği şekilde çek. Bu sayede, sen aracı park ettikten sonra oluşabilecek hasarlarda sorumluluk almamış olursun. Eğer kullanım süren boyunca araçta bir hasar meydana geldiyse yine uygulamanın yönlendirdiği şekilde fotoğraf çekerek gerekli bilgileri girmen yeterli olacaktır.Opsiyonel fotoğrafı da aracın konumunu gösterecek şekilde çekmen ve aracı bıraktığın yerle ilgili açıklayıcı bilgiler yazman, senden sonraki kullanıcının işini kolaylaştıracaktır"
"Genel Bilgiler, Kullanım ve Koşullar",Minimum kullanım ücreti nedir?,"26.12.2024 tarihinden itibaren minimum kullanım ücreti ₺75 olarak belirlenmiştir. Bu tutarı aşan kullanımlarda ek bir ücret alınmaz. Minimum ücretin altında kalan kullanımlar için ise sabit ₺75 ücret uygulanır. Bu düzenleme, ilk kira ve otopark kampanyaları ile bitaksi uygulaması üzerinden yapılan kiralamalar için geçerli değildir."
Rezervasyon,Rezervasyonlu günlük kiralama nedir?,"En erken 3 saat sonrası için rezervasyon yapmak kaydıyla, 30 gün sonrasına kadar belirleyeceğin ileri bir tarihte, en az 1 gün ve üzeri süre için rezervasyon yaparak kiraladığın arabayı kullandığın bir hizmettir."
Rezervasyon,Nasıl günlük araç rezervasyonu yapabilirim?,"GetirAraç mobil uygulaması üzerinden günlük araç ihtiyacın için rezervasyon oluşturabilirsin. Mobil uygulamaya girdiğinde ""Günlük"" başlığı altında rezervasyon yap seçeneğine tıklamalısın. Arabayı teslim almak istediğin noktayı adres olarak ya da haritadan seçip rezervasyon yapmak istediğin tarih ve saat bilgilerini girebilirsin. İhtiyacına uygun araba grubu ve km paketi seçip ödeme işlemini tamamladıktan sonra rezervasyonun oluşturabilirsin."
Rezervasyon,Rezervasyonlu günlük kiralama için hangi araç gruplarını seçebilirim?,"Filoda bulunan Ekonomi ve Konfor segmentlerinde yer alan araçları kiralayabilirsin.
Ekonomi: Renault Clio, Hyundai i20, Opel Corsa, Renault Taliant, Dacia Sandero, Citroen C3
Konfor: Hyundai Bayon, Citroen C3 Aircross, Dacia Sandero Stepway, Kia Stonic"
Rezervasyon,Ne kadar süre için rezervasyon yapabilirim?,"Minimum 1 gün, maksimum 30 gün olacak şekilde farklı tarih ve saatlerde olmak koşulu ile birden fazla rezervasyon yapabilirsin."
Rezervasyon,Günlük Paket ödemesi ne zaman yapılıyor?,Rezervasyon yapıldığı anda ödeme alınır. Ek olarak kartından provizyon bedeli çekilmez.
Rezervasyon,Rezervasyonumu iptal edebilir miyim?,"Rezervasyonuna 3 saatten az süre varken iptal etmen durumunda 200 TL iptal ücreti tarafına yansıtılır. Buna ek olarak, kiralamanı başlatmak için ""Rezervasyon Detay"" sayfasında ""Devam Et"" butonuna tıklayarak araca ulaşmak için tanınan ilk 15 dakikanın, ilk 5 dakikası içerisinde kiralamanı iptal edersen 200 TL Rezervasyon İptal Bedeli, eğer 6. dakikadan sonra kiralamanı iptal edersen 200 TL Rezervasyon İptal Bedeli ve seçtiğin paketin ücreti tarafına yansıtılır. ""Adrese Teslim"" tercih edilen rezervasyon iptalleri için 250 TL tutarında ""Adrese Teslim"" ücreti tüm iptallerde tarafına iade edilir."
Rezervasyon,Rezervasyonumun süresini / tarihlerimi değiştirebilir miyim?,Rezervasyon tarihini 3 saat öncesine kadar uygulama üzerinden iptal edebilir ve yeni belirleyeceğin tarihler ile güncel fiyatlar üzerinden rezervasyon yapabilirsin.
Rezervasyon,Rezerve ettiğim arabayı nereden teslim alabilirim?,"Rezervasyon oluştururken uygulamada aracı teslim almak için seçtiğin lokasyona 20 dakikaya kadar yürüme mesafesine aracın bırakılır. ""Adrese Teslim"" özelliğini seçmen durumunda aracını seçtiğin lokasyona en yakın noktaya bırakılır.""Adrese Teslim"" hizmetinin ücreti 250 TL olarak ödeme sayfası adımında Toplam Tutar’a dahil edilir. Rezervasyon durumunu takip edebilmek için uygulama bildirimlerini açık tutman gerektiğini hatırlatırız."
Rezervasyon,Rezervasyonlu günlük kiralamada rezervasyon yaptığım nokta dışında arabayı bırakabilir miyim?,"Kiralaman boyunca şehir dışına çıkabilirsin. Kiralamanı, İstanbul ve İzmir'de haritada gösterilen hizmet bölgeleri içerisinde sonlandırman gerektiğini hatırlarız."
Rezervasyon,Ücretlendirme süreci nasıl işler ve ödeme yöntemleri nelerdir?,"Rezervasyonunu yaparken ihtiyacın olduğu kadar indirimli kilometre paketi satın alabilir ve kullanımını bu paket üzerinden yapabilirsin. Kullandığın paketin km bitiminde ise her kilometre başına ücret ödersin. Kiralama bitiş saatinde kiralamayı sonlandırmazsan, kiraladığın araç grubuna ait dakikalık ücretlendirme başlar. Provizyon ücreti alınmamaktadır."
Rezervasyon,Rezervasyonlu yaptığım kiralamada otopark ücreti ödeyecek miyim?,"Ücretli otoparklardan kullanımını başlattığında ödemesini yapar, kullanımının sonunda 4 açı fotoğraftan sonra göreceğin ‘’Otopark Fişi’' sekmesinden fotoğrafını paylaşırsın. 2 gün içinde ödediğin tutarın %50 fazlasını sana kampanya olarak tanımlarız.

İzmir’de ise İzelman otoparkları ücretsiz olarak kullanılmaktadır, araç alırken de bırakırken de ödeme yapman gerekmez.
Uygulamanın sağ üst köşesindeki “Otoparklar” ikonundan ücretsiz olarak kullanabileceğin otoparkları görebilirsin."
Rezervasyon,Rezervasyonlu günlük kiralama için Findeks raporu isteniyor mu?,"Hayır. Rezervasyonlu günlük kiralama yapabilmek için GetirAraç'ın ""Genel Kullanım Koşulları"" geçerlidir.

21-25 yaş arası kullanıcılarda en az 2 yıllık ve üzerinde TCKN bulunan ehliyet ve kredi kartı sahibi olma, - 26 yaş ve üzerindeki kullanıcılardaysa en az 1 yıllık ve üzerinde TCKN bulunan ehliyet ve kredi kartı sahibi olma koşulları aranır.

Mevcut GetirAraç üyeliklerinde ise kullanıcıların 21 yaşını doldurmuş ve en az 1 yıllık ehliyete sahip olması gerekir."
Rezervasyon,Günlük rezervasyonda kilometre ve yakıt kullanımı nasıldır?,Paket fiyatlarına sigorta ve yakıt dahildir. Rezervasyonunu yaparken ihtiyacın olduğu kadar indirimli kilometre paketi satın alabilirsin. Kiralaman esnasında paketin biterse ya da kilometre paketi eklemediğin durumda kullandığın kilometre başına ücret ödersin. Kilometre sınırı bulunmamaktadır.
Ödeme,Minimum kullanım ücreti nedir?,"26.12.2024 tarihinden itibaren minimum kullanım ücreti ₺75 olarak belirlenmiştir. Bu tutarı aşan kullanımlarda ek bir ücret alınmaz. Minimum ücretin altında kalan kullanımlar için ise sabit ₺75 ücret uygulanır. Bu düzenleme, ilk kira ve otopark kampanyaları ile bitaksi uygulaması üzerinden yapılan kiralamalar için geçerli değildir."
Ödeme,GetirAraç Uygulamasında İndirimlerin Hesaplanma ve Birleştirilme Yöntemi,"• Bir kampanyada hem TL hem de yüzdelik indirimler mevcutsa, TL bazlı indirim öncelikli olarak uygulanır.• TL indirimi yapıldıktan sonra kalan tutar üzerinden yüzdelik indirimler uygulanır.• Birden fazla yüzdelik indirim uygulanacak ise öncelikle maksimum indirim tutarı belirlenen indirim uygulanır.• Birden fazla maksimum indirim tutarına sahip yüzdelik indirim mevcutsa, maksimum indirim tutarı bedel olarak düşük olan yüzdelik indirim öncelikle uygulanır."
Ödeme,Fatura alabilir miyim?,"Evet, tüm kiralamaların için bireysel ya da kurumsal fatura alabilirsin. Kiralama öncesi fatura bilgilerini girip bireysel veya kurumsal fatura adresini seçmeyi unutma!"
Ödeme,Faturamı çalıştığım şirkete masraf gösterebilir miyim?,"Evet, fatura adresi oluştururken çalıştığın şirketin bilgilerini girerek kiralamanın faturasını kurumuna kestirebilirsin."
Ödeme,Nasıl fatura adresi oluşturabilirim?,Kiralamanı başlatırken ödeme yöntemi olarak iş adresini ve bilgilerini girerek yeni bir ödeme yöntemi oluşturman yeterli.
Ödeme,Ücretlendirme neye göre belirlenir?,"Dakikalık kullanımların ücreti; aracın marka, model ve vites seçeneğine göre değişir. Haritadaki araç kartlarında ve menüde yer alan ""Araçlar ve Fiyatlar"" başlığının altında; dakikalık kullanım bedeli, günlük kullanım bedeli ve kilometre aşım ücretlerini görebilirsin. Uzun araç kartında ise avantajlı paket tutarlarını bulabilirsin. Ücretlendirmen veya paket kullanımın, ""Onayla ve Öde"" butonuna bastıktan 15 dakika sonra otomatik olarak ya da aracın kapılarını açtığın anda başlar."
Ödeme,Nasıl ödeme yapabilirim?,Kredi kartı veya sanal kart kullanarak yapabilirsin.
Ödeme,Fatura gönderiyor musunuz?,Faturalarına Profil sayfasında yer alan Kullanım Geçmişi bölümünden ulaşabilirsin.
Ödeme,Araçlarınızda Hızlı Geçiş Sistemi (HGS) var mı? Varsa kim ödüyor?,"Araçlarımızda HGS bulunuyor. Yapacağın geçişler, kullanımın bittikten sonra hizmet bedeli ile kredi kartından tahsil edilir."
Ödeme,Kullandığım aracın plakasına trafik cezası kesildi? Ben mi ödeyeceğim?,"Kullanımın sırasında trafik cezası kesilmesi durumunda KABİS aracılığıyla ceza tutanağı, direkt senin adına düzenlenir. Böyle bir durumda cezanı, E-Devlet üzerinden kontrol edebilir ve ödemesini gerçekleştirebilirsin."
Ödeme,Depozito Bedeli Nedir?,"Dakikalık kullanımlar ve saatlik paketlerde depozito, aracın marka ve modeline bağlı olarak değişkenlik gösteren kullanım bedelinin bloke edilmesidir. Günlük paketlerde ise depozito bedeli, paket süresi ve aracın marka ve modeline bağlı olarak değişen dakikalık fiyatı üzerinden hesaplanır. Depozito, kullanımın bittiğinde hemen iptal edilir. Ancak gün sonuna denk gelen kullanım bitişlerinde iptal süreci tamamen bankana ait iptal politikası kapsamında kartına yansır."
Ödeme,Taksit seçeneği hangi kullanımlarda geçerlidir?,"Tüm saatlik, dakikalık ve günlük paketlerde 3, 6 ve 12 ay taksit seçeneğinden yararlanılabilir."
Ödeme,Kampanyalı/indirimli paket kullanımımı taksitlendirebilir miyim?,Paket kullanımlarındaki kampanya indirimi taksit seçeneğine dahildir.
Ödeme,Paket tutarı dışındaki tutarlar da taksite dahil mi?,Köprü ve otoyol geçiş ücretleri ve paket aşım tutarı taksitlendirilmez.
Ödeme,Taksit seçeneği için banka kısıtlaması var mıdır?,Tüm bankaların kredi kartları için geçerlidir.
Ödeme,Taksit tutarını bankam kabul eder mi?,"3, 6 ve 12 aylık taksit tutarları, bankanızın taksitlendirme politikası kapsamında uygulanır. Taksit seçeneğini uygulayamamanız durumunda bankanızla iletişime geçmeniz gerekmektedir."
Ödeme,"İptal, iade durumunda ödememi nasıl geri alabilirim?",Herhangi bir sebepten taksit seçeneği ile ödemen bankanın iade politikası kapsamında taksitli olarak kartına iade edilir.
Üyelik,Nasıl üye olurum?,"GetirAraç’a uygulama üzerinden, ücretsiz bir şekilde üye olabilirsin.İlk olarak kişisel bilgilerini girmeli ve üzerinde TCKN bulunan ehliyetinin fotoğrafını sisteme yüklemelisin. Unutma, yasa gereği TCKN bulunmayan ehliyetlerle araç kullanım işlemi yapılamıyor.Hemen ardından üyelik sözleşmeni kabul ettiğine dair 5 saniyelik kısa bir video çekmen gerekiyor.Yalnız bu videoyu çekerken dikkat etmen gereken birkaç konu var. Sessiz ve aydınlık bir ortamda olman, şapka ya da gözlük gibi bir aksesuar kullanmaman bizim için çok önemli. Aynı zamanda sözleşme metnimizi sesli ve doğru bir şekilde okumalısın.Bu aşamaları tamamlamanın ardından en kısa sürede gerçekleşecek onay sürecinden sonra ücretsiz GetirAraç üyeliğin aktif edilir."
Üyelik,Uygulamayı indirdiğim gibi araç kullanabilir miyim?,Dijital üyelik başvurunu yaptıktan kısa bir süre sonra sistem kontrolleri tamamlanır ve hızlıca araç kullanmaya başlayabilirsin.
Üyelik,Yurtdışından alınan ehliyet ile GetirAraç kullanabilir miyim?,Kullanabilirsin. Üyeliğini oluştururken ehliyetinin fotoğrafına ek olarak pasaportunun fotoğrafını da eklemen gerekir.
Temizlik,GetirAraç'ın temizlik tanımı nedir?,"GetirAraç olarak temizlik bizim için çok önemli. Araçlarımız, gün içinde pek çok kullanıcıya hizmet veriyor. Bundan dolayı bazen müdahale gerektirmeyen tozlanmalar olabiliyor. Fakat araç içinde çamur, kül ya da farklı bir kirlilik oluşturan durumlarla karşılaşırsan, bizimle paylaş. Verdiğin geri bildirimler doğrultusunda saha ekibimizi hemen ilgili araca yönlendirelim."
Temizlik,Araçlarınız ne sıklıkla temizleniyor?,"Araçlarımızın temizlik takvimini, kullanım sıklığını ve buna ek olarak senden gelen geri bildirimler doğrultusunda oluşturuyoruz. Aynı zamanda düzenli aralıklarla bütün araçlarımızı dezenfekte ediyoruz."
Temizlik,Araçlarda sigara yasağı var mı?,"Evet, araçlarımızda sigara içilmesi yasak. Araçlarımız bütün GetirAraç kullanıcılarına hizmet veriyor. Araçlarımızda sigara içilmesine izin vermiyor, tespit ettiğimiz takdirde ise 2.000 TL + KDV tutarındaki detaylı temizlik bedelini sana yansıtıyoruz."
